app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia_cfd_step_factor_0_baseline_0,xcu200-fsgd2104-2-e,10,0.51201,0,0,0,0,27.10760188102722
rodinia_cfd_step_factor_0_baseline_0,xcu200-fsgd2104-2-e,5,0.424965,0,0,0,0,27.70133137702942
rodinia_cfd_step_factor_0_baseline_0,xcu200-fsgd2104-2-e,3.33,0.34099533000000004,0,0,0,0,27.534351587295532
rodinia_cfd_step_factor_0_baseline_0,xczu7ev-ffvc1156-2-e,10,0.71681,0,0,0,0,28.493467092514038
rodinia_cfd_step_factor_0_baseline_0,xczu7ev-ffvc1156-2-e,5,0.640005,0,0,0,0,28.288212537765503
rodinia_cfd_step_factor_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,0.68539725,0,0,0,0,27.193570613861084
machsuite-stencil3d,xcu200-fsgd2104-2-e,10,0.81945,0,0,0,0,24.057796478271484
machsuite-stencil3d,xcu200-fsgd2104-2-e,5,0.472725,0,0,0,0,24.885717153549194
machsuite-stencil3d,xcu200-fsgd2104-2-e,3.33,0.40505121,0,0,0,0,24.814656734466553
machsuite-stencil3d,xczu7ev-ffvc1156-2-e,10,0.81945,0,0,0,0,24.959283351898193
machsuite-stencil3d,xczu7ev-ffvc1156-2-e,5,0.472725,0,0,0,0,25.015278816223145
machsuite-stencil3d,xczu7ev-ffvc1156-2-e,3.33,0.40505121,0,0,0,0,24.23244595527649
rodinia-hotspot-0-baseline,xcu200-fsgd2104-2-e,10,5546.32513,0,0,0,0,33.08509802818298
rodinia-hotspot-0-baseline,xcu200-fsgd2104-2-e,5,4117.637445,0,0,0,0,33.02994251251221
rodinia-hotspot-0-baseline,xcu200-fsgd2104-2-e,3.33,4029.49756557,0,0,0,0,32.80374455451965
rodinia-hotspot-0-baseline,xczu7ev-ffvc1156-2-e,10,7899.39905,0,2,0,2,31.358916997909546
rodinia-hotspot-0-baseline,xczu7ev-ffvc1156-2-e,5,6890.633925,0,2,1,2,31.4123637676239
rodinia-hotspot-0-baseline,xczu7ev-ffvc1156-2-e,3.33,6100.00567821,0,0,2,4,36.91554284095764
rodinia_lavaMD_1_tiling_1,xcu200-fsgd2104-2-e,10,866.23546,0,0,0,0,32.61407923698425
rodinia_lavaMD_1_tiling_1,xcu200-fsgd2104-2-e,5,746.31777,0,0,0,0,32.47342896461487
rodinia_lavaMD_1_tiling_1,xcu200-fsgd2104-2-e,3.33,655.3672101000001,0,0,0,0,32.393951654434204
rodinia_lavaMD_1_tiling_1,xczu7ev-ffvc1156-2-e,10,1319.83546,1,1,0,1,31.856178760528564
rodinia_lavaMD_1_tiling_1,xczu7ev-ffvc1156-2-e,5,1135.11885,1,1,0,1,31.89285445213318
rodinia_lavaMD_1_tiling_1,xczu7ev-ffvc1156-2-e,3.33,1036.6575381,1,1,1,2,32.553348541259766
rodinia-knn-1-tiling,xcu200-fsgd2104-2-e,10,293.68326,0,0,0,0,26.025291681289673
rodinia-knn-1-tiling,xcu200-fsgd2104-2-e,5,209.75619,0,0,0,0,26.496641874313354
rodinia-knn-1-tiling,xcu200-fsgd2104-2-e,3.33,178.10696142,0,0,0,0,26.497380018234253
rodinia-knn-1-tiling,xczu7ev-ffvc1156-2-e,10,356.59782,0,0,0,0,27.08498740196228
rodinia-knn-1-tiling,xczu7ev-ffvc1156-2-e,5,283.15651,0,0,0,0,27.333203077316284
rodinia-knn-1-tiling,xczu7ev-ffvc1156-2-e,3.33,254.92563918000002,0,0,0,0,26.150389194488525
machsuite-sort-radix,xcu200-fsgd2104-2-e,10,4.05601,0,0,0,0,27.698240756988525
machsuite-sort-radix,xcu200-fsgd2104-2-e,5,2.028005,0,0,0,0,27.74742293357849
machsuite-sort-radix,xcu200-fsgd2104-2-e,3.33,2.00530269,0,0,0,0,31.33933424949646
machsuite-sort-radix,xczu7ev-ffvc1156-2-e,10,4.05601,0,0,0,0,27.913517236709595
machsuite-sort-radix,xczu7ev-ffvc1156-2-e,5,2.355685,0,0,0,0,27.729217529296875
machsuite-sort-radix,xczu7ev-ffvc1156-2-e,3.33,2.22353757,0,0,0,0,27.770688772201538
rodinia_dilate_0_baseline_0,xcu200-fsgd2104-2-e,10,242.33025,0,0,0,0,35.23921728134155
